Item,ID_Calle,Nombre_Calle,ID_Calle_Origen,ID_Calle_Final,ID_Origen_intereccion,ID_Final_Interseccion,distancia_Km,velocidad,Costo1,Costo2,Latitud_Origen_Interseccion,Longitud_Origen_Interseccion,Latitud_Destino_Interseccion,Longitud_Destino_Interseccion
538,4831299,Av. Las Palmeras,273424032,1305383570,2531,47607,0.0566963,60,0.0009449,1000000,-11.9670433,-77.0701972,-11.9673412,-77.0706202
539,4831299,Av. Las Palmeras,1305383570,1273776722,47607,24546,0.1343191,60,0.0022387,1000000,-11.9673412,-77.0706202,-11.968162,-77.0715186
540,4831299,Av. Las Palmeras,1273776722,273424746,24546,2543,0.0803335,60,0.0013389,1000000,-11.968162,-77.0715186,-11.9687549,-77.0719355
541,4831299,Av. Las Palmeras,273424746,838231977,2543,2548,0.0535192,60,0.000892,1000000,-11.9687549,-77.0719355,-11.9691785,-77.0721691
542,4831299,Av. Las Palmeras,838231977,273425108,2548,2554,0.2682807,60,0.0044713,1000000,-11.9691785,-77.0721691,-11.971524,-77.0726352
543,4831299,Av. Las Palmeras,273425108,273423256,2554,2516,0.0581748,60,0.0009696,1000000,-11.971524,-77.0726352,-11.9720447,-77.0725832
544,4831299,Av. Las Palmeras,273423256,273423288,2516,2521,0.0216577,60,0.000361,1000000,-11.9720447,-77.0725832,-11.9722394,-77.0725777
545,4831299,Av. Las Palmeras,273423288,273426026,2521,2608,0.1985256,60,0.0033088,1000000,-11.9722394,-77.0725777,-11.9740235,-77.0725085
546,4831299,Av. Las Palmeras,273426026,273425909,2608,2594,0.1323115,60,0.0022052,1000000,-11.9740235,-77.0725085,-11.9752127,-77.0724666
547,4831299,Av. Las Palmeras,273425909,1305383112,2594,47476,0.132991,60,0.0022165,1000000,-11.9752127,-77.0724666,-11.9764068,-77.0723974
548,4831299,Av. Las Palmeras,1305383112,273426030,47476,2524,0.0636525,60,0.0010609,1000000,-11.9764068,-77.0723974,-11.9769791,-77.0723844
549,4831299,Av. Las Palmeras,273426030,31069290,2524,111,0.1625892,60,0.0027098,1000000,-11.9769791,-77.0723844,-11.9784413,-77.0723846
550,4831299,Av. Las Palmeras,31069290,31069275,111,48082,0.0155137,60,0.0002586,1000000,-11.9784413,-77.0723846,-11.9785808,-77.0723824
551,4831299,Av. Las Palmeras,31069275,1305382753,48082,16567,0.0089396,60,0.000149,1000000,-11.9785808,-77.0723824,-11.9786612,-77.0723818
552,4831299,Av. Las Palmeras,1305382753,843103658,16567,16581,0.1536088,60,0.0025601,1000000,-11.9786612,-77.0723818,-11.9800426,-77.0723922
553,4831299,Av. Las Palmeras,843103658,1305826498,16581,48195,0.054237,60,0.000904,1000000,-11.9800426,-77.0723922,-11.9805303,-77.0723841
554,4831299,Av. Las Palmeras,1305826498,1305826236,48195,48167,0.0365879,60,0.0006098,1000000,-11.9805303,-77.0723841,-11.9808593,-77.0723786
555,4831299,Av. Las Palmeras,1305826236,1305826563,48167,48162,0.0619135,60,0.0010319,1000000,-11.9808593,-77.0723786,-11.9814159,-77.0723633
556,4831299,Av. Las Palmeras,1305826563,1305826187,48162,48202,0.0550643,60,0.0009177,1000000,-11.9814159,-77.0723633,-11.9819111,-77.0723611
557,4831299,Av. Las Palmeras,1305826187,1305826205,48202,48237,0.0311609,60,0.0005193,1000000,-11.9819111,-77.0723611,-11.9821913,-77.0723564
